iter	Logloss
0	0.6590452804
1	0.625596994
2	0.5979985625
3	0.5736796265
4	0.5530570867
5	0.5334698496
6	0.5219318602
7	0.5041632614
8	0.4898882124
9	0.4806350751
10	0.4678580885
11	0.4590389639
12	0.4493343671
13	0.4428687586
14	0.4331183314
15	0.4256255543
16	0.420224788
17	0.4155836
18	0.4111504621
19	0.4051853902
20	0.4003963507
21	0.394121567
22	0.3909862834
23	0.3830027966
24	0.3793047542
25	0.3754707452
26	0.3726374224
27	0.3695344446
28	0.3669741593
29	0.3639771223
30	0.3618037831
31	0.3584991745
32	0.3557519725
33	0.3511228477
34	0.3488861355
35	0.3468516633
36	0.3437031346
37	0.3396932718
38	0.3374917991
39	0.3356169714
40	0.3338890283
41	0.3319173886
42	0.3288209335
43	0.3272301564
44	0.3251826575
45	0.3235014824
46	0.3224417816
47	0.32086612
48	0.318741163
49	0.3160071952
50	0.3123036225
51	0.3110826246
52	0.3099276955
53	0.3082181576
54	0.3071601637
55	0.305413279
56	0.3046092525
57	0.3032393199
58	0.3021089515
59	0.3007534025
60	0.2984716463
61	0.296685386
62	0.2951453098
63	0.2927787139
64	0.2913446798
65	0.2891391571
66	0.2879125514
67	0.2871156004
68	0.2863622609
69	0.2842451581
70	0.28347058
71	0.2823601151
72	0.2813927418
73	0.2798901672
74	0.2793325475
75	0.278420529
76	0.2774637135
77	0.2766346874
78	0.2759193018
79	0.2752220355
80	0.2739360022
81	0.2730877472
82	0.2723849713
83	0.2715373992
84	0.2703145082
85	0.2694791169
86	0.2686551202
87	0.2676418428
88	0.2671286557
89	0.2659112635
90	0.2651615869
91	0.2645842949
92	0.2636376321
93	0.2628379851
94	0.2620329486
95	0.2610710089
96	0.2599420997
97	0.2592157412
98	0.2580195513
99	0.2573622687
100	0.2567460302
101	0.2559110305
102	0.2553351456
103	0.2544843975
104	0.2539850704
105	0.2532914181
106	0.2526488343
107	0.2519669247
108	0.2511350527
109	0.2501643346
110	0.2496370761
111	0.2487640738
112	0.2482539862
113	0.2473558492
114	0.2467785605
115	0.2461496233
116	0.2454510869
117	0.2447016548
118	0.2440286268
119	0.2432670642
120	0.2426764235
121	0.2420470107
122	0.2414635185
123	0.2406105141
124	0.2396750996
125	0.2389622083
126	0.2381525609
127	0.2374855194
128	0.2369314309
129	0.2364269946
130	0.2357191135
131	0.2347030626
132	0.2342385074
133	0.2336468011
134	0.2333695931
135	0.2326447175
136	0.2320201737
137	0.2315314976
138	0.230921542
139	0.2301241154
140	0.2297222256
141	0.2291832519
142	0.2279778023
143	0.2275372479
144	0.2266512974
145	0.2260816699
146	0.225531373
147	0.2249832149
148	0.224488721
149	0.2240112804
150	0.2234271941
151	0.2229485671
152	0.2225699184
153	0.2220086135
154	0.2215180687
155	0.2207225161
156	0.2204064134
157	0.2197723969
158	0.219249119
159	0.2189310363
160	0.2181662548
161	0.2173802051
162	0.2168251294
163	0.2163250636
164	0.2158603008
165	0.2153526044
166	0.2147223998
167	0.2144185916
168	0.2138633848
169	0.2131164478
170	0.2127173092
171	0.2122897441
172	0.2117210269
173	0.2110952845
174	0.2106266292
175	0.2100815948
176	0.2097482837
177	0.2092731616
178	0.2081267491
179	0.2077128932
180	0.207155622
181	0.2064263451
182	0.2061752988
183	0.2059517813
184	0.2056246357
185	0.2052364303
186	0.2047403293
187	0.2043776574
188	0.2040180933
189	0.2036427235
190	0.2031715601
191	0.2028556213
192	0.2025388401
193	0.2019437652
194	0.2013148507
195	0.2007475269
196	0.2000080872
197	0.1994832272
198	0.1991421813
199	0.1984989523
200	0.1981154917
201	0.1976278014
202	0.1973847163
203	0.1969797078
204	0.1967636038
205	0.1962944012
206	0.1959902144
207	0.1948865454
208	0.1946274719
209	0.1942605481
210	0.1932546995
211	0.1929925465
212	0.1925914576
213	0.1922439071
214	0.1916676117
215	0.1913636214
216	0.1908501174
217	0.1905556949
218	0.1898333654
219	0.1893738288
220	0.1890577526
221	0.1886399259
222	0.1880939183
223	0.1877281666
224	0.1874347904
225	0.1870743186
226	0.1867125617
227	0.186239436
228	0.1859418427
229	0.1857192434
230	0.1855421713
231	0.1852233801
232	0.1844895893
233	0.1840082807
234	0.1834517469
235	0.1828976072
236	0.1824937138
237	0.1822266016
238	0.1819045658
239	0.1813147842
240	0.1808816163
241	0.1804448972
242	0.1797611671
243	0.1794501011
244	0.1790436697
245	0.1784220716
246	0.1779472806
247	0.1776488318
248	0.1772473773
249	0.1768162004
250	0.1763029611
251	0.1759635188
252	0.175707861
253	0.1752305431
254	0.174936946
255	0.1745771015
256	0.1739382615
257	0.173649189
258	0.1734429844
259	0.1730863169
260	0.1727872994
261	0.1724584815
262	0.1721328638
263	0.1718465524
264	0.1715253494
265	0.1711824436
266	0.1707974108
267	0.1706022712
268	0.1701369667
269	0.1697595657
270	0.1695743764
271	0.169192626
272	0.1688774523
273	0.1685182319
274	0.1681835108
275	0.1677555447
276	0.1675155759
277	0.1672247922
278	0.1669282876
279	0.1666751508
280	0.1664534068
281	0.1660551308
282	0.1655150719
283	0.1651669815
284	0.1649648072
285	0.1646852707
286	0.1641429034
287	0.1636911588
288	0.1633978168
289	0.1629960359
290	0.1624191629
291	0.1621136461
292	0.1617406855
293	0.1615436612
294	0.1610221848
295	0.160766132
296	0.1604639548
297	0.1600542827
298	0.1596024574
299	0.1592885841
300	0.1589262586
301	0.1586827964
302	0.1582415635
303	0.1577568727
304	0.1574730165
305	0.1570433486
306	0.1566375867
307	0.1561660197
308	0.155784554
309	0.1555306014
310	0.1552853406
311	0.154963746
312	0.1546813232
313	0.1543958927
314	0.1541526605
315	0.1537707594
316	0.153611383
317	0.1532064867
318	0.1529529476
319	0.1526239359
320	0.1522640551
321	0.1520374317
322	0.1517372532
323	0.1514475788
324	0.1510867046
325	0.1506348794
326	0.1504107167
327	0.1500079547
328	0.1497251863
329	0.1494030926
330	0.1491747792
331	0.1489402285
332	0.148638545
333	0.1483398046
334	0.1481753964
335	0.1478481721
336	0.1475523454
337	0.1474437007
338	0.1471063103
339	0.1466934566
340	0.1463899809
341	0.1461103225
