iter	Passed	Remaining
0	15	7578
1	27	6857
2	36	6063
3	45	5658
4	58	5757
5	68	5631
6	78	5541
7	87	5402
8	96	5263
9	105	5157
10	114	5076
11	122	4974
12	130	4905
13	139	4838
14	147	4777
15	155	4717
16	164	4678
17	172	4628
18	180	4574
19	189	4553
20	198	4532
21	207	4498
22	214	4456
23	223	4433
24	231	4393
25	239	4360
26	246	4326
27	254	4285
28	261	4255
29	269	4229
30	277	4198
31	285	4180
32	294	4167
33	302	4140
34	310	4119
35	317	4091
36	325	4072
37	333	4060
38	341	4041
39	349	4017
40	356	3992
41	364	3972
42	372	3954
43	380	3946
44	388	3928
45	400	3950
46	409	3942
47	418	3940
48	427	3930
49	435	3917
50	443	3907
51	452	3896
52	461	3891
53	470	3884
54	479	3875
55	488	3874
56	496	3855
57	505	3850
58	512	3832
59	520	3819
60	528	3802
61	536	3789
62	544	3777
63	552	3763
64	560	3750
65	567	3732
66	574	3715
67	582	3700
68	590	3688
69	598	3675
70	605	3660
71	613	3646
72	620	3631
73	628	3619
74	635	3603
75	643	3589
76	651	3577
77	659	3569
78	667	3555
79	675	3544
80	682	3529
81	689	3516
82	697	3503
83	704	3491
84	712	3477
85	719	3466
86	727	3454
87	736	3449
88	744	3438
89	751	3425
90	759	3413
91	766	3401
92	775	3392
93	783	3382
94	790	3371
95	798	3359
96	806	3352
97	815	3344
98	823	3334
99	831	3324
100	838	3311
101	845	3299
102	853	3290
103	861	3280
104	869	3271
105	877	3260
106	884	3249
107	892	3239
108	900	3228
109	908	3219
110	915	3209
111	923	3198
112	930	3187
113	938	3176
114	946	3168
115	953	3157
116	961	3145
117	968	3134
118	975	3123
119	982	3112
120	990	3101
121	997	3090
122	1005	3081
123	1012	3071
124	1020	3062
125	1028	3051
126	1035	3040
127	1043	3033
128	1051	3024
129	1059	3015
130	1067	3006
131	1074	2996
132	1082	2987
133	1097	2997
134	1108	2997
135	1119	2995
136	1130	2995
137	1139	2990
138	1151	2991
139	1160	2982
140	1167	2973
141	1175	2963
142	1183	2954
143	1190	2944
144	1202	2944
145	1214	2944
146	1224	2941
147	1233	2932
148	1242	2926
149	1250	2918
150	1258	2908
151	1267	2901
152	1274	2891
153	1283	2883
154	1292	2877
155	1303	2873
156	1312	2867
157	1321	2859
158	1328	2849
159	1336	2840
160	1345	2832
161	1353	2824
162	1363	2818
163	1371	2809
164	1380	2802
165	1389	2795
166	1399	2790
167	1407	2781
168	1415	2772
169	1424	2765
170	1432	2756
171	1441	2749
172	1451	2743
173	1460	2737
174	1469	2728
175	1477	2719
176	1485	2711
177	1495	2705
178	1503	2697
179	1512	2688
180	1521	2680
181	1530	2674
182	1540	2668
183	1549	2660
184	1559	2655
185	1567	2646
186	1576	2638
187	1583	2628
188	1594	2624
189	1604	2618
190	1614	2612
191	1623	2603
192	1630	2594
193	1639	2585
194	1646	2575
195	1654	2566
196	1662	2556
197	1669	2546
198	1677	2537
199	1686	2529
200	1694	2520
201	1701	2510
202	1709	2501
203	1717	2492
204	1726	2484
205	1735	2477
206	1745	2470
207	1754	2463
208	1763	2455
209	1772	2448
210	1780	2439
211	1789	2431
212	1797	2421
213	1806	2413
214	1814	2404
215	1821	2395
216	1829	2386
217	1837	2376
218	1844	2367
219	1852	2357
220	1860	2348
221	1868	2340
222	1876	2330
223	1883	2320
224	1891	2312
225	1899	2303
226	1908	2294
227	1917	2287
228	1925	2278
229	1934	2271
230	1942	2262
231	1952	2255
232	1961	2247
233	1969	2239
234	1978	2231
235	1987	2223
236	1998	2217
237	2008	2211
238	2017	2203
239	2025	2194
240	2034	2186
241	2043	2178
242	2051	2170
243	2061	2162
244	2070	2155
245	2079	2146
246	2087	2138
247	2095	2128
248	2102	2119
249	2110	2110
250	2118	2101
251	2127	2093
252	2134	2084
253	2142	2075
254	2150	2066
255	2158	2057
256	2165	2047
257	2173	2038
258	2180	2029
259	2188	2019
260	2195	2010
261	2203	2001
262	2210	1992
263	2218	1982
264	2225	1973
265	2233	1964
266	2241	1955
267	2249	1947
268	2257	1938
269	2265	1929
270	2273	1921
271	2283	1913
272	2292	1906
273	2300	1897
274	2308	1888
275	2315	1879
276	2323	1870
277	2331	1861
278	2339	1852
279	2347	1844
280	2355	1835
281	2363	1826
282	2371	1818
283	2379	1809
284	2386	1800
285	2394	1791
286	2402	1782
287	2410	1774
288	2418	1765
289	2425	1756
290	2433	1747
291	2441	1739
292	2448	1730
293	2456	1721
294	2465	1713
295	2474	1705
296	2482	1696
297	2490	1687
298	2497	1678
299	2504	1669
300	2512	1660
301	2522	1654
302	2536	1648
303	2548	1643
304	2559	1636
305	2569	1629
306	2580	1621
307	2590	1614
308	2601	1607
309	2609	1599
310	2617	1590
311	2627	1583
312	2637	1575
313	2646	1567
314	2654	1558
315	2661	1549
316	2669	1541
317	2676	1532
318	2684	1523
319	2691	1514
320	2698	1505
321	2707	1496
322	2714	1487
323	2721	1478
324	2728	1469
325	2735	1460
326	2743	1451
